Объект,"Средние значения, кВт*ч",Все параметры,Параметры д/выч энергопотр,Формула
Телевизор,"0,18",Страна;Гарантия производителя;Технология;Тип светодиодной подсветки;Частота обновления;Индекс улучшения изображения;Воспроизведение видео через USB;Таймер выключения;Ввод названий каналов;Список программ;Русифицированное меню;Картинка в картинке (PIP);Гид по программам;Любимые каналы;Цифровое шумоподавление;Гребенчатый фильтр;Технологии улучшения изображения;Изменение формата;Регулировка контрастности;Регулировка температуры цвета;Предустановки изображения;Количество тюнеров;Цветовая система;Автоматическая настройка;Ручная настройка;Кол-во встроенных динамиков;Мощность;Автоматическая регулировка громкости;Эквалайзер;Технологии улучшения звука;Композитный вход;Оптический аудиовыход;USB;Кол-во разъемов USB;Слот для CI;Стандарт VESA;Пульт ДУ;Подставка;Батарейки для пульта ДУ;Высота с подставкой;Ширина с подставкой;Глубина с подставкой;Высота;Ширина;Глубина;Вес с подставкой;Вес;Цвет,Мощность,Мощность * 0.001
Акустическая система,"0,1",Страна;Тип акустической системы;Суммарная мощность системы;Частотный диапазон;Количество динамиков;Пассивный радиатор;Система окружающего звучания;Можно использовать на улице;Встроенный микрофон;Аудиовход 3.5 мм;Разъем microUSB;Питание от сети;Питание от аккумуляторов;Время работы ;Аудиокабель 3.5 мм - 3.5 мм;USB-кабель;Высота;Ширина;Глубина;Вес;Цвет,Суммарная мощность системы,Суммарная мощность системы * 0.001 
Компьютер,"0,6",Страна;Пол;Возраст;Цвет оправы;Форма оправы;Материал оправы;Цвет линз;Ширина линзы;Переносица;Длина дужек;Чехол;Вес,Тип компьютера,Домашний = 4.20;Игровой = 6.00;Мощный игровой = 9.00
Пылесос,1,Страна;Тип пылесборника;Крепление;Подходит для пылесосов;Совместимые модели;Пылесборников в комплекте;Моторный фильтр,Максимальная потребляемая мощность, Максимальная потребляемая мощность * 0.001 
Стиральная машина,"3,3",Страна;Материал бака;Диаметр люка;Открытие люка на 180°;Регулировка скорости отжима;Максимальное время отсрочки запуска;Установка времени завершения стирки;Выбор температуры стирки;Автоматическая регулировка уровня воды;Автовзвешивание белья;Половинная загрузка;Ускоренная стирка;Стирка без отжима;Добавление белья во время стирки;Звуковой сигнал по окончании стирки;Хлопок;Синтетика;Смешанное белье;Тонкое белье;Шелк;Шерсть;Рубашки;Блузы;Джинсы;Пуховики;Спортивная одежда;Детская одежда;Супербыстрая стирка;Ночной цикл;Полоскание;Отжим;Слив;Материал барабана;Дисплей;Индикация хода программы;Индикация времени программы;Индикация времени до конца стирки;Защита от перелива;Защита от перегрева;Блокировка люка;Ворсовый фильтр;Защита от детей;Энергопотребление за цикл;Потребление воды за цикл при стирке;Максимальная потребляемая мощность;Высота;Ширина;Глубина;Вес;Цвет;Дополнительная информация,Энергопотребление за цикл,Энергопотребление за цикл 
Утюг,1,Страна;Мощность;Объем резервуара для воды;Рабочее давление;Паровой удар;Постоянная подача пара;Время нагрева;Вертикальное отпаривание;Съемный резервуар для воды;Самоочистка от накипи;Автоотключение;Индикация включения;Длина сетевого шнура;Отсек для сетевого шнура;Замок фиксации утюга;Шарнирное крепление шнура;Вес;Цвет;Дополнительная информация, Мощность, Мощность * 0.001 
Кондиционер,"1,5",Страна;Тип;Объем;Материал упаковки,Потребляемая мощность.обогрев;Потребляемая мощность.охлаждение, ((Потребляемая мощность.обогрев + Потребляемая мощность.охлаждение) / 2) * 0.001 
Тепловентилятор,2,Страна;Гарантия производителя;Количество секций;Площадь обогрева;Максимальная мощность;Количество уровней мощности;Управление;Термостат;Встроенный тепловентилятор;Световой индикатор;Отключение при перегреве;Колеса;Длина сетевого шнура;Высота;Ширина;Глубина;Вес;Цвет,Максимальная мощность,Максимальная мощность * 0.001
Холодильник,"0,2",Страна;Тип;Возраст;Вес;Витамины;Состав;Температура хранения;Срок годности;Дополнительная информация,Энергопотребление в год, Энергопотребление в год / (24*30*12)
Морозильная камера,"0,2",Страна;Тип;Количество дверей;Общий объем;Полезный объем;Климатический класс;Уровень шума;Покрытие;Общий объем;Полезный объем;Система размораживания;Полки;Количество полок;Полка для бутылок;Отделение для овощей и фруктов;Количество полок на двери;Материал полок на двери;Освещение холодильной камеры;Тип зоны свежести;Количество ящиков;Цвет ящиков;Расположение;Общий объем;Полезный объем;Система размораживания;Количество ящиков;Материал ящиков;Цвет ящиков;Мощность замораживания;Освещение морозильной камеры;Количество компрессоров;Хладагент;Тип управления;Тип дисплея;Расположение;Индикация включения;Индикация температуры;Класс энергопотребления;Энергопотребление в год;Перенавешиваемые двери;Суперзамораживание;Звуковая сигнализация открытой двери;Звуковая сигнализация повышения температуры;Световая сигнализация повышения температуры;Автономное сохранение холода;Подставка для яиц;Подставка для яиц;Высота;Ширина;Глубина;Вес;Цвет,Энергопотребление в год,Энергопотребление в год / (24*30*12)
Электрическая плита,"2,5",Страна;Тип вытяжки;Режимы работы;Таймер;Жиропоглощающий фильтр;Тип управления;Количество скоростей;Интенсивный режим;Тип подсветки;Количество ламп;Мощность подсветки;Минимальная высота над газовой плитой;Минимальная высота над электрической плитой;Количество двигателей;Производительность;Потребляемая мощность;Уровень шума;Крепление;Диаметр штуцера;Высота;Ширина;Глубина;Вес;Цвет,Потребляемая мощность;Мощность потребляемая,Мощность потребляемая * 0.001
Микроволновая печь,1,Страна;Гарантия производителя;Тип гриля;Открывание дверцы ;Диаметр поворотного стола;Подсветка ;Количество программ автоматического приготовления;Количество программ автоматического размораживания;Поэтапное приготовление;Звуковой сигнал окончания работы;Таймер;Часы;Отображение времени до конца;Мощность микроволн;Количество уровней мощности;Мощность гриля;Решетка для гриля;Вес;Цвет,,Мощность потребляемая * 0.001
Посудомоечная машина,2,Страна;Тип;Материал;Материал ручки;Максимальная рабочая температура;Возможность мытья в посудомоечной машине;Количество в наборе;Длина;Дополнительная информация,Энергопотребление за цикл,Энергопотребление за цикл 
Миксер,"0,2",Страна;Гарантия производителя;Максимальная потребляемая мощность;Максимальная скорость вращения;Прямой привод;Количество скоростей;Количество скоростей смешивания;Плавная регулировка скорости;Планетарное смешивание;Материал чаши;Общий объем чаши;Максимальный вес теста;Количество насадок;Насадка для теста;Насадка для взбивания;Защита двигателя от перегрузки;Материал корпуса;Длина сетевого шнура;Лопатка;Высота;Ширина;Глубина;Вес;Цвет,Максимальная потребляемая мощность,Максимальная потребляемая мощность * 0.001 
Тостер,1.3,Страна;Гарантия производителя;Кол-во тостов;Автоцентрирование тостов;Автоподъем тостов;Тип управления;Включение;Кол-во режимов;Подогрев;Разморозка;Максимальная потребляемая мощность;Напряжение;Материал корпуса;Поддон для крошек;Длина сетевого шнура;Отсек для шнура;Прорезиненные ножки;Защита от перегрева;Решетка для булочек;Высота;Глубина;Ширина;Вес;Цвет,Максимальная потребляемая мощность,Максимальная потребляемая мощность * 0.001 
Вытяжка,"0,21",Страна;Гарантия производителя;Тип вытяжки;Дизайн;Режимы работы;Жиропоглощающий фильтр;Тип управления;Количество скоростей;Тип подсветки;Количество ламп;Мощность подсветки;Количество двигателей;Производительность;Уровень шума;Крепление;Диаметр штуцера;Материал;Высота;Ширина;Глубина;Вес;Цвет,Потребляемая мощность;Мощность потребляемая,Потребляемая мощность * 0.001
Варочная панель,"1,5",Страна;Возможность работы от газового баллона;Отсутствие рамки (скошенные края);Кол-во конфорок;Материал поверхности;Решетка;Конфорка 1: Мощность;Конфорка 2: Мощность;Конфорка 3: Мощность;Конфорка 4: Мощность;Конфорка 5: Тип;Конфорка 5: Мощность;Тип управления;Электроподжиг;Тип электроподжига;Размещение панели управления;Газ-контроль;Высота;Ширина;Глубина;Ширина ниши;Глубина ниши;Вес;Цвет,Конфорка 1: Мощность; Конфорка 2: Мощность;Конфорка 3: Мощность;Конфорка 4: Мощность, ((Конфорка 1: Мощность + Конфорка 2: Мощность + Конфорка 3: Мощность + Конфорка 4: Мощность) / 4) 
